calibration_target,setting,method,n,PICP_mean,PICP_std,PINAW_mean,PINAW_std,Winkler_mean,Winkler_std,rank_mean,rank_std,RMSE_mean,RMSE_std,MAE_mean,MAE_std,R2_mean,R2_std,PICP_below_080,PICP_below_target,cached_audit_time_s_mean,stage2_time_s_mean
0.8,common_validation_conformal_080,Proposed model,9,0.78551772886926,0.04632825065998331,0.1848790446917216,0.027960973326715027,294.1173960367839,168.15962680316827,1.3333333333333333,1.0,101.87592781914606,63.513441854695046,65.89573076036241,40.350957484346004,0.8548242118623521,0.07951524007182223,7,7,1583.0265904797448,1583.0148362318675
0.8,common_validation_conformal_080,CNN-QR,9,0.792406196460838,0.04995816295731393,0.20062070257133907,0.012059153597263419,395.66491953531903,241.40002467500827,7.444444444444445,0.7264831572567788,106.48899205525716,69.57913368095785,67.95330376095242,44.041492473001085,0.8484657671716478,0.0771442371430006,5,5,1583.0265904797448,1583.0148362318675
0.8,common_validation_conformal_080,GRU-QR,9,0.7517769073521161,0.06793196852095294,0.15608577016327116,0.02839575664780949,331.4830042521159,199.2479878438627,3.111111111111111,1.452966314513558,102.10075230068631,65.21105647596956,63.95851421356201,40.92980094121153,0.8544341458214654,0.08041858873543917,6,6,1583.0265904797448,1583.0148362318675
0.8,common_validation_conformal_080,KDE,9,0.7940227042653043,0.046323483861885256,0.2023072044054667,0.0148174962547578,410.54518127441406,254.70886842399767,7.555555555555555,0.8819171036881968,105.87756771511502,68.99199764453063,66.32817819383409,42.810463824343515,0.8503298030959235,0.07587852233540088,6,6,1583.0265904797448,1583.0148362318675
0.8,common_validation_conformal_080,LSTM-QR,9,0.7587255019275295,0.07041046275390236,0.15803020695845285,0.025131935873944692,335.35884941948785,205.35367165535396,2.888888888888889,0.7817359599705717,102.9335748884413,66.12805841064666,64.30415513780382,41.13272889341565,0.8534812529881796,0.07961184109428548,6,6,1583.0265904797448,1583.0148362318675
0.8,common_validation_conformal_080,LUBE-NN,9,0.7844370039628612,0.06598765753539416,0.21606638696458605,0.03436064728593637,433.624035305447,290.89077543838454,8.777777777777779,1.3944333775567925,120.89483239915636,86.37168419876231,89.4589377509223,71.30076324393838,0.8221632109747993,0.08068248104248557,5,5,1583.0265904797448,1583.0148362318675
0.8,common_validation_conformal_080,MLP-QR,9,0.77308600177128,0.03865298073352013,0.173256473408805,0.018428873065302845,361.01568603515625,223.19882993458617,5.111111111111111,1.2692955176439846,106.06292639838324,67.00146312557487,67.15269639756944,41.82151144749806,0.8455265694194369,0.08246501544563004,6,6,1583.0265904797448,1583.0148362318675
0.8,common_validation_conformal_080,RQR-MLP,9,0.9539773693155073,0.028723329373297697,0.37090392576323616,0.042706169908047355,446.6404546101888,285.17023719843843,7.555555555555555,3.0459444804161775,103.66533321804471,65.38978731892716,65.23170449998644,40.93492829489013,0.8461624052789476,0.08941188570362972,0,0,1583.0265904797448,1583.0148362318675
0.8,common_validation_conformal_080,SQR,9,0.7551517766616754,0.07085236244893545,0.159630642996894,0.006634705390796946,374.9276835123698,228.37419987189324,6.888888888888889,2.260776661041756,107.00273429022894,66.564264099626,67.94309828016493,41.30165895831688,0.8340472247865465,0.09754909602002976,6,6,1583.0265904797448,1583.0148362318675
0.8,common_validation_conformal_080,Transformer-QR,9,0.7502862090982914,0.07934262569128288,0.1699057916800181,0.030086319232766917,376.03428904215497,233.9362084263025,4.333333333333333,2.5495097567963922,106.8261161380344,68.7112566976591,67.63391187455919,42.627161132694425,0.8444016112221612,0.08133934588283556,6,6,1583.0265904797448,1583.0148362318675
