calibration_target,setting,public_dataset,seed,method,rank,PICP,PINAW,Winkler,RMSE,MAE,R2,params,best_lambda,posthoc_calibration,baseline_common_calibration,calibration_q_scaled,calib_val_picp_before,calib_val_picp_after,time_s,stage1_cache_time_s,stage2_time_s,dpr_cache_status
0.8,common_validation_conformal_080,WPF-SCADA,42,Proposed model,1,0.7969356486210418,0.1662415862083435,455.6064453125,173.8644561767578,107.008056640625,0.8862262964248657,9971,0.15,conformal,,0.0,0.8110316649642493,0.8110316649642493,1436.1862614154816,0.009586811065673828,1436.1747877597809,hit
0.8,common_validation_conformal_080,WPF-SCADA,42,MLP-QR,5,0.8016343207354444,0.17209599912166595,606.5078125,180.2486114501953,111.0486831665039,0.8777175545692444,2021,,,conformal,0.0,0.8028600612870276,0.8028600612870276,1436.1862614154816,0.009586811065673828,1436.1747877597809,hit
0.8,common_validation_conformal_080,WPF-SCADA,42,LSTM-QR,3,0.8257405515832482,0.18827229738235474,564.4141845703125,177.0843963623047,109.99139404296875,0.881973147392273,9285,,,conformal,0.0,0.8345250255362615,0.8345250255362615,1436.1862614154816,0.009586811065673828,1436.1747877597809,hit
0.8,common_validation_conformal_080,WPF-SCADA,42,GRU-QR,2,0.8181818181818182,0.182221919298172,546.1187744140625,174.16317749023438,108.8166275024414,0.8858350515365601,7173,,,conformal,0.0,0.8232890704800817,0.8232890704800817,1436.1862614154816,0.009586811065673828,1436.1747877597809,hit
0.8,common_validation_conformal_080,WPF-SCADA,42,CNN-QR,7,0.7946884576098059,0.1951104700565338,656.227783203125,189.501953125,117.20431518554688,0.8648402094841003,3525,,,conformal,0.004188835620880127,0.7926455566905005,0.8008171603677222,1436.1862614154816,0.009586811065673828,1436.1747877597809,hit
0.8,common_validation_conformal_080,WPF-SCADA,42,Transformer-QR,4,0.7967313585291114,0.17532320320606232,606.2755126953125,181.52723693847656,111.82592010498047,0.8759765625,17925,,,conformal,0.0,0.8232890704800817,0.8232890704800817,1436.1862614154816,0.009586811065673828,1436.1747877597809,hit
0.8,common_validation_conformal_080,WPF-SCADA,42,SQR,6,0.7662921348314606,0.1537955403327942,651.0233764648438,183.7512969970703,113.02693939208984,0.8729189038276672,1921,,,conformal,0.013519048690795898,0.7742594484167518,0.8008171603677222,1436.1862614154816,0.009586811065673828,1436.1747877597809,hit
0.8,common_validation_conformal_080,WPF-SCADA,42,LUBE-NN,9,0.7387129724208376,0.2610172629356384,735.5060424804688,226.25839233398438,194.0247802734375,0.8073230981826782,2021,,,conformal,0.3658595681190491,0.0040858018386108275,0.8008171603677222,1436.1862614154816,0.009586811065673828,1436.1747877597809,hit
0.8,common_validation_conformal_080,WPF-SCADA,42,RQR-MLP,10,0.9752808988764045,0.401552677154541,737.6886596679688,173.747314453125,108.98225402832031,0.886379599571228,2021,,,conformal,0.0,0.992849846782431,0.992849846782431,1436.1862614154816,0.009586811065673828,1436.1747877597809,hit
0.8,common_validation_conformal_080,WPF-SCADA,42,KDE,8,0.7850868232890705,0.18169882893562317,679.8078002929688,182.75369262695312,113.71244812011719,0.8742949962615967,0,,,conformal,0.0,0.8008171603677222,0.8008171603677222,1436.1862614154816,0.009586811065673828,1436.1747877597809,hit
0.84,common_validation_conformal_084,WPF-SCADA,42,Proposed model,1,0.8375893769152196,0.17844156920909882,457.64556884765625,173.8644561767578,107.008056640625,0.8862262964248657,9971,0.15,conformal,,0.017156347632408142,0.8110316649642493,0.8416751787538305,1436.1862614154816,0.009586811065673828,1436.1747877597809,hit
0.84,common_validation_conformal_084,WPF-SCADA,42,MLP-QR,5,0.8243105209397344,0.1882169246673584,608.5430297851562,180.2486114501953,111.0486831665039,0.8777175545692444,2021,,,conformal,0.02267022430896759,0.8028600612870276,0.8416751787538305,1436.1862614154816,0.009586811065673828,1436.1747877597809,hit
0.84,common_validation_conformal_084,WPF-SCADA,42,LSTM-QR,3,0.8318692543411644,0.19268065690994263,565.5240478515625,177.0843963623047,109.99139404296875,0.881973147392273,9285,,,conformal,0.006199300289154053,0.8345250255362615,0.8416751787538305,1436.1862614154816,0.009586811065673828,1436.1747877597809,hit
0.84,common_validation_conformal_084,WPF-SCADA,42,GRU-QR,2,0.8379979570990806,0.19421526789665222,549.1820068359375,174.16317749023438,108.8166275024414,0.8858350515365601,7173,,,conformal,0.016865745186805725,0.8232890704800817,0.8416751787538305,1436.1862614154816,0.009586811065673828,1436.1747877597809,hit
0.84,common_validation_conformal_084,WPF-SCADA,42,CNN-QR,7,0.8189989785495404,0.21328191459178925,657.3956909179688,189.501953125,117.20431518554688,0.8648402094841003,3525,,,conformal,0.029742568731307983,0.7926455566905005,0.8416751787538305,1436.1862614154816,0.009586811065673828,1436.1747877597809,hit
