calibration_target,setting,public_dataset,method,n,PICP_mean,PICP_std,PINAW_mean,PINAW_std,Winkler_mean,Winkler_std,rank_mean,rank_std,PICP_below_080,PICP_below_target,cached_audit_time_s_mean,stage2_time_s_mean
0.8,common_validation_conformal_080,WPF-SCADA,Proposed model,3,0.7889002383384406,0.007378050108699642,0.16354474425315857,0.004856970441075716,458.96544392903644,8.48836917862011,1.0,0.0,3,3,1342.3768135706584,1342.3665487766266
0.8,common_validation_conformal_080,WPF-SCADA,CNN-QR,3,0.8087844739530133,0.020810533417384654,0.2059459686279297,0.019221044490238447,650.99267578125,45.72853753742691,7.0,1.0,2,2,1342.3768135706584,1342.3665487766266
0.8,common_validation_conformal_080,WPF-SCADA,GRU-QR,3,0.8156622403813415,0.002184407890002835,0.18372790018717447,0.0030778327364703885,554.1361490885416,13.522424457232974,2.0,0.0,0,0,1342.3768135706584,1342.3665487766266
0.8,common_validation_conformal_080,WPF-SCADA,KDE,3,0.7885597548518897,0.004367223355757277,0.1842032273610433,0.0027801535186854705,683.9704996744791,8.45188979185241,7.666666666666667,0.5773502691896258,3,3,1342.3768135706584,1342.3665487766266
0.8,common_validation_conformal_080,WPF-SCADA,LSTM-QR,3,0.8175008512087164,0.007395000341882984,0.18515931566556296,0.003327354575479065,567.1627400716146,5.645624943914666,3.0,0.0,0,0,1342.3768135706584,1342.3665487766266
0.8,common_validation_conformal_080,WPF-SCADA,LUBE-NN,3,0.7686074225400068,0.03157741584811694,0.2572564979394277,0.006722386563460083,770.6834106445312,49.12341139553002,9.666666666666666,0.5773502691896257,2,2,1342.3768135706584,1342.3665487766266
0.8,common_validation_conformal_080,WPF-SCADA,MLP-QR,3,0.7971399387129724,0.005945508564190089,0.1769719421863556,0.004283433542263681,608.374267578125,23.060199201267746,5.0,1.0,2,2,1342.3768135706584,1342.3665487766266
0.8,common_validation_conformal_080,WPF-SCADA,RQR-MLP,3,0.9701055498808308,0.006493511958728686,0.4026418427626292,0.0029017387473711407,745.4870808919271,8.213068120885282,9.333333333333334,0.5773502691896257,0,0,1342.3768135706584,1342.3665487766266
0.8,common_validation_conformal_080,WPF-SCADA,SQR,3,0.7677902621722846,0.00487450600426925,0.1573949009180069,0.0075380296660191035,629.9278971354166,20.403114697796337,6.0,1.0,3,3,1342.3768135706584,1342.3665487766266
0.8,common_validation_conformal_080,WPF-SCADA,Transformer-QR,3,0.7990466462376574,0.004921370504638671,0.17857680221398672,0.0031013211497328097,603.0086873372396,7.440655668540056,4.333333333333333,0.5773502691896258,2,2,1342.3768135706584,1342.3665487766266
0.8,common_validation_conformal_080,Longyuan-SCADA,Proposed model,3,0.747806180847005,0.011951510955877232,0.2191919336716334,0.01821640778138662,80.86983744303386,0.8904967109880503,1.0,0.0,3,3,846.0315461953481,846.0228373209635
0.8,common_validation_conformal_080,Longyuan-SCADA,CNN-QR,3,0.7309551061935649,0.002969679366357792,0.1967784216006597,0.0013651720544998296,100.73380279541016,3.7493421666751225,8.0,0.0,3,3,846.0315461953481,846.0228373209635
0.8,common_validation_conformal_080,Longyuan-SCADA,GRU-QR,3,0.6711178939336131,0.030100692909290128,0.16325023770332336,0.008753047698181728,95.00023142496745,1.8958601894039315,4.666666666666667,1.5275252316519465,3,3,846.0315461953481,846.0228373209635
0.8,common_validation_conformal_080,Longyuan-SCADA,KDE,3,0.7445631438382296,0.0075371027337422375,0.20983907083670297,0.004528693060269808,99.57882181803386,3.705918567108477,6.666666666666667,0.5773502691896258,3,3,846.0315461953481,846.0228373209635
0.8,common_validation_conformal_080,Longyuan-SCADA,LSTM-QR,3,0.667874856924838,0.02503992472068573,0.15997719764709473,0.010631749405492157,93.4451395670573,2.558419995449677,3.3333333333333335,1.1547005383792515,3,3,846.0315461953481,846.0228373209635
0.8,common_validation_conformal_080,Longyuan-SCADA,LUBE-NN,3,0.7230064860740176,0.034141942933860345,0.2039149353901545,0.02468217444161882,102.25446065266927,4.2386578809923385,9.333333333333334,0.5773502691896257,3,3,846.0315461953481,846.0228373209635
0.8,common_validation_conformal_080,Longyuan-SCADA,MLP-QR,3,0.7244690321760142,0.0242396581820681,0.1910896748304367,0.010273616070251927,94.87103271484375,6.507599298765523,5.333333333333333,2.0816659994661326,3,3,846.0315461953481,846.0228373209635
0.8,common_validation_conformal_080,Longyuan-SCADA,RQR-MLP,3,0.9174615286786213,0.011392366545369789,0.39419784148534137,0.008156710091300303,94.15296173095703,0.7444027423955637,3.6666666666666665,1.5275252316519468,0,0,846.0315461953481,846.0228373209635
0.8,common_validation_conformal_080,Longyuan-SCADA,SQR,3,0.6683199796515326,0.007179359843670531,0.15665067235628763,0.0031645004885741414,104.03017171223958,4.668111976581563,9.666666666666666,0.5773502691896257,3,3,846.0315461953481,846.0228373209635
0.8,common_validation_conformal_080,Longyuan-SCADA,Transformer-QR,3,0.7236423756835814,0.0145312950404559,0.19737430910269418,0.013275794361750528,92.18722788492839,5.154820627064543,3.3333333333333335,1.5275252316519465,3,3,846.0315461953481,846.0228373209635
0.8,common_validation_conformal_080,SDWPF-SCADA,Proposed model,3,0.8198467674223342,0.06685675231820976,0.17190045615037283,0.008389321448809217,342.51690673828125,23.450496503913797,2.0,1.7320508075688772,1,1,2560.671411673228,2560.6551225980124
