calibration_target,public_dataset,seed,method,n_test,PICP,PINAW,Winkler,RMSE,MAE,R2
0.88,Longyuan-SCADA,42,Proposed model,5242,0.8264021365890881,0.2708008061273986,80.23011714110933,24.286852131997396,16.759121495589085,0.7718985768083721
0.88,Longyuan-SCADA,42,MLP-QR,5242,0.8363220144982831,0.27493799446957407,87.34431719603518,24.313423214054716,15.523334491498417,0.7713991940912379
0.88,Longyuan-SCADA,42,LSTM-QR,5242,0.7855780236550934,0.22661879538451382,86.70616209633667,24.417153796468178,15.341861513362403,0.7694444320016467
0.88,Longyuan-SCADA,42,GRU-QR,5242,0.7897748950782144,0.23391114022141313,89.1902031753533,24.430452397533383,15.355739887989047,0.7691932232406555
0.88,Longyuan-SCADA,42,CNN-QR,5242,0.8243037008775277,0.289944815816481,94.7115638978367,24.631920954114236,15.55418121147213,0.7653707771808971
0.88,Longyuan-SCADA,42,Transformer-QR,5242,0.8384204502098436,0.28564815418085315,85.85469185100627,25.194304917016467,15.887709566038096,0.7545345910106341
0.88,Longyuan-SCADA,42,SQR,5242,0.7745135444486837,0.22969309263382284,94.73351596300294,26.731431498478358,17.034331679433237,0.7236687698894302
0.88,Longyuan-SCADA,42,LUBE-NN,5242,0.8241129339946586,0.2950275208556649,94.62906816607257,24.319990218358125,15.301006204456336,0.7712756882235978
0.88,Longyuan-SCADA,42,RQR-MLP,5242,0.9303700877527661,0.4028285515299895,93.38451129609031,25.85772345572213,17.202841291632353,0.741437159293867
0.88,Longyuan-SCADA,42,KDE,5242,0.8229683326974437,0.2916018530766967,94.96395502744889,24.40291201075494,15.256771498434146,0.7697133057149443
0.88,Longyuan-SCADA,43,Proposed model,5242,0.85463563525372,0.2661979032968285,81.2067256115721,26.591895014232296,16.676991538748112,0.7265461056843401
0.88,Longyuan-SCADA,43,MLP-QR,5242,0.8008393742846242,0.26482861238926025,94.93653136838496,26.223374553820605,16.529182443433328,0.7340728409918511
0.88,Longyuan-SCADA,43,LSTM-QR,5242,0.7775658145745898,0.22421761015486458,90.88326807951776,26.159062314478252,16.32915700208281,0.7353756023486309
0.88,Longyuan-SCADA,43,GRU-QR,5242,0.7827165204120564,0.23328921276252082,91.80281628575787,26.14102593980492,16.35747940811843,0.7357403875468547
0.88,Longyuan-SCADA,43,CNN-QR,5242,0.7983594048073255,0.274823099899696,100.86788316925393,26.143520029352832,16.271644103249507,0.7356899596424336
0.88,Longyuan-SCADA,43,Transformer-QR,5242,0.811903853491034,0.2636710542478216,92.96764617869346,26.3305016500987,16.666362985995534,0.7318956846109224
0.88,Longyuan-SCADA,43,SQR,5242,0.7598244944677603,0.23178040475953965,103.39630940947434,28.873981490136483,18.59166292516284,0.6775971404638934
0.88,Longyuan-SCADA,43,LUBE-NN,5242,0.8166730255627623,0.30558241188974417,103.42922890361683,26.79149392974611,17.77995744354674,0.7224256062806127
0.88,Longyuan-SCADA,43,RQR-MLP,5242,0.9132010682945441,0.393148193250202,94.203659856492,28.022678448361614,17.48138886246318,0.6963279477295898
0.88,Longyuan-SCADA,43,KDE,5242,0.8056085463563525,0.28221345419981453,101.30026401956377,25.908040106497907,16.21099631998697,0.740429903237179
0.88,Longyuan-SCADA,44,Proposed model,5242,0.8439526898130485,0.26842279021503984,81.86861732165329,25.04183491493286,16.642822536979565,0.757496598856078
0.88,Longyuan-SCADA,44,MLP-QR,5242,0.803510110644792,0.27304784393419235,96.04900487571551,27.175910953814544,16.900419580003913,0.7144029223115121
0.88,Longyuan-SCADA,44,LSTM-QR,5242,0.8202975963372758,0.2732675693530732,88.78297106185731,25.430602431574414,16.09096239639676,0.7499085558146137
0.88,Longyuan-SCADA,44,GRU-QR,5242,0.8187714612743228,0.27016535422948773,90.2356992618657,25.514031375592214,15.99238202305191,0.7482649384187621
0.88,Longyuan-SCADA,44,CNN-QR,5242,0.820488363220145,0.3045454100428143,99.82449747364961,25.308668530571584,16.107158595525295,0.7523010683879575
0.88,Longyuan-SCADA,44,Transformer-QR,5242,0.8109500190766883,0.2660953037357633,93.13233761384187,26.147955292344456,16.37760688768308,0.7356002713389178
0.88,Longyuan-SCADA,44,SQR,5242,0.789202594429607,0.25431507291276817,96.73543826860227,26.856960832885814,17.2878372819466,0.7210674036959912
0.88,Longyuan-SCADA,44,LUBE-NN,5242,0.8389927508584509,0.3291069814087835,101.6990068266341,26.89202059591351,18.705848396796068,0.7203386768777125
0.88,Longyuan-SCADA,44,RQR-MLP,5242,0.908813429988554,0.3866167059314928,94.87071862823751,25.05029353394638,15.859613465664841,0.7573327458220799
0.88,Longyuan-SCADA,44,KDE,5242,0.8340328119038535,0.31776556004602746,98.46516109554183,25.27264945850774,15.991672356891875,0.7530056125154305
0.88,SDWPF-SCADA,42,Proposed model,12704,0.9078243073047859,0.18785702504071286,348.1457584029716,102.37633661539272,67.54799838532367,0.9323018987098582
0.88,SDWPF-SCADA,42,MLP-QR,12704,0.8822418136020151,0.2086049970221973,411.0043463345234,112.7335221966876,74.94523009222387,0.9179112824722259
0.88,SDWPF-SCADA,42,LSTM-QR,12704,0.8695686397984886,0.16546003104227194,346.19801644811616,106.61859740368709,69.20166650430937,0.9265751194911203
0.88,SDWPF-SCADA,42,GRU-QR,12704,0.8839735516372796,0.17326511372334616,351.77173921372827,104.93914430652781,67.5810111676787,0.9288700742076442
0.88,SDWPF-SCADA,42,CNN-QR,12704,0.9140428211586902,0.25523849719316044,456.84372976176576,107.41029309614672,70.6057091753697,0.9254806390607812
0.88,SDWPF-SCADA,42,Transformer-QR,12704,0.8661051637279596,0.18177159120005262,394.78941250582886,101.03424303678356,66.70250127535802,0.9340652289453288
0.88,SDWPF-SCADA,42,SQR,12704,0.8962531486146096,0.20985685632849543,405.22328703653216,107.28748048728622,70.05648243499101,0.9256509520675988
0.88,SDWPF-SCADA,42,LUBE-NN,12704,0.9285264483627204,0.25943166161429043,471.58036961045497,109.67801225340881,73.6448054039845,0.9223008155517163
0.88,SDWPF-SCADA,42,RQR-MLP,12704,0.96205919395466,0.2942158085994531,472.7408843758387,99.82880291959718,62.9272264987434,0.935629179445991
0.88,SDWPF-SCADA,42,KDE,12704,0.8968828715365239,0.254074444401635,464.9046674137989,107.39799816603379,69.73425805579198,0.9254976980943336
0.88,SDWPF-SCADA,43,Proposed model,12704,0.9268734256926953,0.1978405025836051,342.7686418404598,112.81785973447158,70.83505716647788,0.9177884130747633
0.88,SDWPF-SCADA,43,MLP-QR,12704,0.8801952141057935,0.19752581877564923,389.3216176724302,112.522292862006,70.42016493376624,0.9182186143156157
0.88,SDWPF-SCADA,43,LSTM-QR,12704,0.896095717884131,0.18438061910049267,364.6799036909829,106.44157545526717,65.8759494537477,0.9268187359970873
0.88,SDWPF-SCADA,43,GRU-QR,12704,0.8800377833753149,0.17731801316585308,360.46990888648537,106.19630847284907,66.02887080979706,0.9271556018950072
0.88,SDWPF-SCADA,43,CNN-QR,12704,0.9187657430730478,0.27717837748890367,495.77009811215515,108.74889414064707,71.2009333265345,0.9236116697215311
0.88,SDWPF-SCADA,43,Transformer-QR,12704,0.7075724181360201,0.1749824932062203,514.1893315399952,128.25605123176632,90.24735734931708,0.8937489947079919
0.88,SDWPF-SCADA,43,SQR,12704,0.9088476070528967,0.23840631644967694,443.4896023912922,118.48921036639173,76.48636470269132,0.9093151103148004
0.88,SDWPF-SCADA,43,LUBE-NN,12704,0.9367128463476071,0.26869654715036695,476.89565806409917,107.76686972862443,69.72378717946482,0.9249850446788296
0.88,SDWPF-SCADA,43,RQR-MLP,12704,0.9796127204030227,0.3257185289651678,513.5327730437727,117.89018891643126,74.37912895464252,0.9102297063558684
0.88,SDWPF-SCADA,43,KDE,12704,0.9146725440806045,0.2763018519906389,497.9915980133307,108.0525472639016,68.863281969379,0.9245868055549944
0.88,SDWPF-SCADA,44,Proposed model,12704,0.8836586901763224,0.20871034266404107,374.51677512143027,112.608550521354,78.4277069983761,0.9180931818422915
0.88,SDWPF-SCADA,44,MLP-QR,12704,0.8854691435768262,0.1976312027582861,389.6168916824435,110.846442113684,72.99862128531645,0.9206364959739217
0.88,SDWPF-SCADA,44,LSTM-QR,12704,0.8685453400503779,0.18201318484480272,367.9803980274131,103.54729483145374,63.544684363948306,0.9307444100075779
0.88,SDWPF-SCADA,44,GRU-QR,12704,0.8515428211586902,0.16333610237722146,352.8117179817952,104.29281861490627,63.41141314730729,0.9297435618546737
0.88,SDWPF-SCADA,44,CNN-QR,12704,0.9162468513853904,0.2640429868530184,477.70120749042576,108.22038628849913,69.05135675455479,0.9243523435705042
0.88,SDWPF-SCADA,44,Transformer-QR,12704,0.8759445843828715,0.1678380366904795,352.83916678164746,104.46909706261201,64.59052841423424,0.9295058626057606
0.88,SDWPF-SCADA,44,SQR,12704,0.9175850125944585,0.22914678526051713,425.25343234643725,112.85579459830099,74.89131394349042,0.9177331166936837
0.88,SDWPF-SCADA,44,LUBE-NN,12704,0.9141215365239295,0.280934470363877,518.5103324529388,119.95799096151028,75.13777579214093,0.9070529338793217
0.88,SDWPF-SCADA,44,RQR-MLP,12704,0.9814231738035264,0.32768191692604565,514.5703105204547,106.1610798488799,66.22992410451924,0.9272039233913086
0.88,SDWPF-SCADA,44,KDE,12704,0.9176637279596978,0.266085208006001,480.4550414695124,108.52428864146769,67.15108755315406,0.9239268825107866
0.88,WPF-SCADA,42,Proposed model,4895,0.8717058222676201,0.1940990641538046,465.39222499518706,173.86445259915004,107.00805472291869,0.8862263149343551
0.88,WPF-SCADA,42,MLP-QR,4895,0.861491317671093,0.22136587950034195,621.3499422326579,180.24862217758977,111.04869109164558,0.8777175484204564
0.88,WPF-SCADA,42,LSTM-QR,4895,0.8612870275791624,0.21680235579487936,575.4855396680612,177.08438835928493,109.99138292350328,0.8819731595491822
0.88,WPF-SCADA,42,GRU-QR,4895,0.8653728294177733,0.21659743468569334,559.5382752789546,174.163176164528,108.81661130136506,0.8858350207110739
0.88,WPF-SCADA,42,CNN-QR,4895,0.8574055158324821,0.24998923367123163,670.5838949822798,189.50195050909122,117.20430769676221,0.8648401818852381
0.88,WPF-SCADA,42,Transformer-QR,4895,0.8400408580183861,0.2085750669086021,611.6137691920627,181.5272298666062,111.82591914406369,0.8759765550530944
0.88,WPF-SCADA,42,SQR,4895,0.844126659856997,0.21352527419010991,656.3615752951767,183.75129777971168,113.02694784383169,0.8729188723400388
0.88,WPF-SCADA,42,LUBE-NN,4895,0.8416751787538305,0.3109534203782965,734.1176400282324,226.2583989215671,194.02477633672422,0.8073231005843793
0.88,WPF-SCADA,42,RQR-MLP,4895,0.9752808988764045,0.40155269366721297,737.688620854568,173.7473050025151,108.98226388967967,0.8863795817274772
0.88,WPF-SCADA,42,KDE,4895,0.8402451481103167,0.23034558847900993,686.6956458113463,182.753692866772,113.71244430088252,0.8742949999290208
0.88,WPF-SCADA,43,Proposed model,4895,0.8655771195097037,0.19644343204977194,476.6042069049299,175.8473158514405,115.56078893918284,0.883616418696344
0.88,WPF-SCADA,43,MLP-QR,4895,0.8337078651685393,0.21145298461472428,636.4514633454647,182.76135460555295,113.87393281464924,0.8742844596324313
0.88,WPF-SCADA,43,LSTM-QR,4895,0.8520939734422881,0.21508173501211786,582.3528171971158,181.27480380031804,112.31748945415487,0.8763212414482585
0.88,WPF-SCADA,43,GRU-QR,4895,0.8598569969356487,0.2173009303628142,579.6461307983662,180.10972505063495,113.22867427290436,0.8779059341835714
0.88,WPF-SCADA,43,CNN-QR,4895,0.8561797752808988,0.25265374089244064,709.4227447623252,183.87486500031028,117.43530279479265,0.8727478984003321
0.88,WPF-SCADA,43,Transformer-QR,4895,0.8398365679264556,0.20738721525850196,613.056944005236,189.42849838049148,114.99285371766965,0.8649449391426833
0.88,WPF-SCADA,43,SQR,4895,0.837385086823289,0.21205839232600077,632.3944798296901,182.6903794086002,113.3075618351181,0.8743820836919457
0.88,WPF-SCADA,43,LUBE-NN,4895,0.8561797752808988,0.31601324430233996,759.0528569880801,210.33030621538617,161.93543211159653,0.8334962811030759
0.88,WPF-SCADA,43,RQR-MLP,4895,0.9722165474974463,0.40593056939779626,744.7126472062942,178.63969420685544,112.2247856941291,0.8798908307642471
0.88,WPF-SCADA,43,KDE,4895,0.8359550561797753,0.2275113761998688,699.4649590779128,187.6555455912572,116.24424919496731,0.8674611993924309
0.88,WPF-SCADA,44,Proposed model,4895,0.8717058222676201,0.18763852180503646,461.90196109947533,163.44825816737128,103.6030337413522,0.8994502897822382
