public_dataset,seed,method,calibration_target,calibration_q_scaled,validation_picp_before,validation_picp_after,test_picp,test_pinaw,test_winkler
WPF-SCADA,43,Proposed model,0.88,0.04217170178890228,0.8161389172625128,0.881511746680286,0.8655771195097037,0.19644343852996826,476.60418701171875
WPF-SCADA,43,MLP-QR,0.88,0.04607173800468445,0.8294177732379979,0.881511746680286,0.8337078651685393,0.21145297586917877,636.451416015625
WPF-SCADA,43,LSTM-QR,0.88,0.04152505099773407,0.8314606741573034,0.881511746680286,0.8520939734422881,0.21508173644542694,582.352783203125
WPF-SCADA,43,GRU-QR,0.88,0.042233094573020935,0.8314606741573034,0.881511746680286,0.8598569969356487,0.21730093657970428,579.6461791992188
WPF-SCADA,43,CNN-QR,0.88,0.08436828851699829,0.7957099080694586,0.881511746680286,0.8561797752808988,0.25265374779701233,709.4227294921875
WPF-SCADA,43,Transformer-QR,0.88,0.04004928469657898,0.8283963227783453,0.881511746680286,0.8398365679264556,0.20738722383975983,613.0569458007812
WPF-SCADA,43,SQR,0.88,0.06572744250297546,0.7957099080694586,0.881511746680286,0.837385086823289,0.2120583951473236,632.3944702148438
WPF-SCADA,43,LUBE-NN,0.88,0.4436940550804138,0.0020429009193054137,0.881511746680286,0.8561797752808988,0.31601327657699585,759.0528564453125
WPF-SCADA,43,RQR-MLP,0.88,0.0,0.9908069458631257,0.9908069458631257,0.9722165474974463,0.4059305787086487,744.712646484375
WPF-SCADA,43,KDE,0.88,0.06158752739429474,0.8018386108273748,0.881511746680286,0.8359550561797753,0.22751139104366302,699.4650268554688
Longyuan-SCADA,43,Proposed model,0.88,0.09966927766799927,0.7912297426120114,0.880838894184938,0.85463563525372,0.26619791984558105,81.20672607421875
Longyuan-SCADA,43,MLP-QR,0.88,0.23672911524772644,0.6425166825548141,0.880838894184938,0.8008393742846242,0.264828622341156,94.93653106689453
Longyuan-SCADA,43,LSTM-QR,0.88,0.12944769859313965,0.792183031458532,0.880838894184938,0.7775658145745898,0.22421763837337494,90.88326263427734
